"","year","FR_MA","B","ERC","GenFund.proj","ERC_PR","ERC_GenFund","NC.growth","SC.growth","NC.factor","SC.factor","LG","NC","SC"
"1",2016,91,941.502149981576,430.796709336177,5558.321,30.8314288204318,7.75048273275648,NA,NA,100,100,1147.30321673095,391.49119986442,173.953122876394
"2",2017,91.819499867237,995.732428554559,419.537204474345,5600.426,27.7133019692835,7.49116593049073,2.96184390392766,-7.4139140215123,103.05224668634,93.0978085203864,40.9896591747932,403.440477039594,161.946545250698
"3",2018,92.4783934188468,1052.63279310838,448.914141752723,5783.199,27.8000730352052,7.7623844822342,3.03976360684735,13.8681063224031,106.282998597988,108.087497610193,54.6060724519821,416.088586463146,188.021577531879
"4",2019,93.1770716685437,1112.24020765592,447.234727503984,5983.03,25.9608225333362,7.47505406966009,3.0863339692093,-2.67683619609876,109.667710397231,105.269602779502,68.2644084427582,429.339435297959,183.119761474519
"5",2020,93.7633360034184,1175.22304822465,421.7585385581,6156.556,22.9474377381375,6.8505596076459,3.10294140222163,-18.4332229552536,113.179607290727,88.8851963602094,93.9599249645445,443.088202584307,154.6185748434
"6",2021,94.1323498415057,1109.43189524994,442.300981599587,6341.25268,22.8670302893627,6.97497803540588,3.07991242204702,8.06032969708663,116.776212361237,96.6777410310039,315.699474887812,457.16859492923,168.173949649785
"7",2022,94.7122199750588,1175.4126690859,468.508265468272,6531.4902604,23.3655700314867,7.17306842373795,3.02756075765841,9.44107699401052,120.422063499304,106.756725700691,177.242485751355,471.441781294921,185.706658236938
"8",2023,95.347357145256,1242.60360409666,484.317663122198,6727.434968212,23.2971039424629,7.19914299299305,3.11462390600061,3.55033836894025,124.29333337414,110.686469911173,-6.43730163574219e-12,486.597462177906,192.542571012125
"9",2024,95.992962231661,1311.70986070769,433.931685754924,6929.25801725836,20.134360523712,6.26231098155317,3.16854522839051,-44.8369727991533,128.360493671507,76.4214190424033,7.15255737304688e-13,502.520036826478,132.937444970716
"10",2025,96.3887714717214,1383.23126183502,403.059124350521,7137.13575777611,18.0444269097063,5.64735123486164,3.19066222933489,-43.4365410380225,132.5910254397,53.2789054235108,-2.14576721191406e-12,519.082196406419,92.6803198185577
"11",2026,96.6213215668653,1457.70749089977,368.110000318242,7351.2498305094,15.910174311233,5.00744783275491,3.17707851081825,-90.9412322979202,136.941773084708,27.9033002889503,-8.34465026855469e-13,536.114990564933,48.538662238207
"12",2027,96.6846078560098,1534.95951372273,379.051530958746,7571.78732542468,15.8264894966673,5.00610377269789,3.20267683240585,2.70445167576048,141.472686024186,28.6789074829631,7.51018524169922e-12,553.853115996511,49.8878551734462
"13",2028,96.7453576288598,1613.01202516056,422.253315096332,7798.94094518742,17.0302285926586,5.4142391648304,3.25616888005955,39.86657844156,146.234322526252,47.6921265075392,1.07288360595703e-12,572.494503871631,82.9619434260251
"14",2029,96.9107808311464,1692.39627499606,435.539175463863,8032.90917354304,16.9707453768278,5.42193576516889,3.27555774226906,3.18145134885975,151.186524432571,49.2592867502952,-2.86102294921875e-12,591.881938534386,85.6880676087764
"15",2030,97.078580899838,1773.55626153963,449.03228805537,8273.89644874933,16.9073241429781,5.42709581678709,3.27185461424396,2.97228215119467,156.300447847555,50.7682627628675,-8.10623168945312e-12,611.902498671855,88.3129785061016
"16",2031,97.2487527884249,1857.00897100018,469.094846036974,8522.11334221181,17.0736010370847,5.50444270335444,3.23101730582383,8.72117552521948,161.519159854681,55.618883191133,1.06096267700195e-11,632.333296926021,96.7507842199498
"17",2032,97.4391101978403,1941.06598681397,434.885054679955,8777.77674247817,15.3007594726165,4.95438728323337,3.26958817574809,-91.4624001614445,166.978674864057,29.0495069236749,-2.74181365966797e-12,653.706817743006,50.5325244739269
"18",2033,97.4902854411126,2024.57566884609,418.699902435028,9041.11004475251,14.2372275569191,4.63106742825283,3.34969081366234,-130.412894961733,172.765794822373,12.6075873177582,6.07967376708984e-12,676.362883105409,21.9312918586086
"19",2034,97.4567960599849,2108.04885060432,547.666786829247,9312.34334609509,17.9979466029699,5.88108456137303,3.40944361897952,84.0759463704296,178.864064247507,79.1732281932683,2.86102294921875e-12,700.237071248832,137.724302924244
"20",2035,97.733702657814,2192.18132461148,606.238944939958,9591.71364647794,19.2572987474829,6.32044457626785,3.44925654515171,24.4833987485414,185.253948180267,104.842149780594,-7.39097595214844e-12,725.252904527137,182.37619363409
"21",2036,98.1251180201722,2277.4297601309,620.621963187005,9879.46505587228,19.0640783762989,6.2819389478797,3.47010534243742,-0.820750706302122,191.913550550791,103.988662101919,1.9073486328125e-12,751.324661753702,180.891525163669
"22",2037,98.5112995265469,2362.62650490463,687.50351115801,10175.8490075484,20.4036357521584,6.75622752114364,3.5093233211519,21.84843103689,198.893361676321,133.060236002433,-9.5367431640625e-13,778.65000807731,231.462435832933
"23",2038,99.0207467689315,2448.80506308567,648.742822771489,10481.1244777749,18.5850888737927,6.18962997860717,3.52651254373703,-31.3892042075779,206.163752260424,101.271818186992,1.0073184967041e-11,807.112947409844,176.165490329976
"24",2039,99.399888752435,2536.61547121265,666.126600376468,10795.5582121081,18.4080493878055,6.17037662424301,3.53648266619089,0.327684705867963,213.721993514916,101.604761450699,-2.20537185668945e-12,836.702796785705,176.744655534602
"25",2040,99.7810735297412,2627.23478119194,622.567436982332,11119.4249584714,16.5866330636916,5.59891756370032,3.53232820997771,-52.1704250991672,221.547788548393,66.7703736678693,-1.01625919342041e-11,867.340095661193,116.149150151496
"26",2041,100.02947327069,2720.12408769724,551.010016481753,11453.0077072255,14.1496299281618,4.81105077868872,3.54002312241586,-362.554322742072,229.678459108026,14.4351420762965,9.37283039093018e-12,899.170955392121,25.1103804333622
"27",2042,100.084301042173,2813.69395282821,545.77056592749,11796.5979384423,13.5057520389718,4.62650815748287,3.56507824562646,8911470626335580,238.169384004928,-1.61983837253947e-13,-8.53836536407471e-12,932.412179150591,-2.81775943458257e-13
"28",2043,100.087577469428,2908.37454750694,566.075898215739,12150.4958765956,13.4983590688256,4.658870748692,3.59022810135349,122.621613926624,247.038634481274,7.16057827612826e-13,8.77678394317627e-12,967.134514259421,1.24560495273338e-12
"29",2044,100.090971289906,3004.73342849695,586.823604871818,12515.0107528934,13.4838229889395,4.68895805571838,3.60589783540027,2.39863219350013,256.27982307407,7.33655525230395e-13,1.2814998626709e-12,1003.31295436309,1.27621669729348e-12
"30",2045,100.094482849905,3103.14035833959,608.211685744952,12890.4610754802,13.4703535245964,4.71830822950057,3.61724682377237,20.3030492491919,265.898010410103,9.20556581298006e-13,-6.25848770141602e-13,1040.96731137013,1.60133692101205e-12
